"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"360","Indonesia","000"," World",2008,301920000,,0,2,0,"","Eels (anguilla spp.), live ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301931000,,0,2,0,"","Carp breeder, live ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301939000,,0,2,10,"","Carp ,live for oth than breeding ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301940000,,0,2,10,"","Bluefin tunas (thunnus thynnus), live ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301950000,,0,2,10,"","Southern bluefin tunas(thunnus maccoyii) , live","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301991100,,0,2,0,"","Milkfish or lapu-lapu fry, live for breeding","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301991900,,0,2,0,"","Milkfish or lapu-lapu fry, live for oth than breeding","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301992100,,0,2,0,"","Other live fish fry, for breeding ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301992900,,0,2,10,"","Other live fish fry, for other than breeding","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301993100,,0,2,10,"","Milk fish breeder ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301993910,,0,2,15,"","Kerapu (cromilepte altiveli;epinephelus, heniochus; epinephelus merra; epinephel)","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301993990,,0,2,10,"","Other marine fish, live ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301994010,,0,2,15,"","Tilapia fish, live ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,301994090,,0,2,10,"","Other freshwater fish, live ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302110000,,0,2,5,"","Trout (salmo trutta & orcorhynchuses), excl.fillets, livers/roes, fresh/chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302120000,,0,2,5,"","Pacific/atlantic/danube salmon, excl. fillets, livers/roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302190000,,0,2,5,"","Oth salmonidae fish,excl.fillet,liver and roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302210000,,0,2,5,"","Halibut fish, excl.fillets,liver & roes fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302220000,,0,2,5,"","Plaice fish, excl.fillets,livers & roes fresh or chilled,","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302230000,,0,2,5,"","Sole fish, excl.fillets,livers & roes fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302290000,,0,2,5,"","Oth flat fish, excl.fillet,liver & roes fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302310000,,0,2,5,"","Albacore/longfinned tunas,excl.fillet livers and roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302320000,,0,2,5,"","Yellowfin tunas,excl.fillets, livers & roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302330000,,0,2,5,"","Skipjack or stripe-bellied bonito,excl. fillets,livers & roes,fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302340000,,0,2,5,"","Big eye tunas, excl.fillets,liver & roes fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302350000,,0,2,5,"","Bluefin tunas,excl.fillets,liver & roes fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302360000,,0,2,5,"","Southern bluefin tunas, excl. fillets, livers and roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302390000,,0,2,5,"","Oth tunas, excl.fillets, livers & roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302400000,,0,2,5,"","Herrings, excl. fillets, livers & roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302500000,,0,2,5,"","Cod, excluding fillets, livers & roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302610000,,0,2,5,"","Sardines, excl. fillets, livers & roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302620000,,0,2,5,"","Haddock, excl. fillets, livers & roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302630000,,0,2,5,"","Coalfish, excl. fillets, livers & roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302640000,,0,2,5,"","Mackerel, excl. fillets livers & roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302650000,,0,2,5,"","Dogfish & oth sharks, excl. fillets, livers and roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302660000,,0,2,5,"","Eels, excl. fillets, livers and roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302670000,,0,2,5,"","Swordfish (xiphias gladius) fresh or chilled","MFN applied duty rates","A",,""
